bin,code,classification,completeness,contamination,genome_size_bp,contigs,average_contig_size_bp,percent_gc,rRNA_count,tRNA_count,rRNA_5S,rRNA_16S,rRNA_23S,abund_2015-07-16,abund_2015-07-24,abund_2015-08-06,avg_abundance
coassembly-bin.171,ACIDO1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__,98.39,2.86,6494282,365,17791,64.5,3,48,1,1,1,0.043864764,0.061369374,0.15308625,0.086106796
coassembly-bin.65,CHIT5,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,95.83,0,4553781,57,79888,43,0,40,0,0,0,0.07679926,0.062058173,0.05275353,0.063870321
coassembly-bin.13,CHIT7,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella_B;s__,100,6.25,3760507,45,83566,41.9,0,33,0,0,0,0.1282423,0.08724323,0.028421538,0.081302356
POS2015-07-24-bin.45,CHIT8,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,98.51,0.5,6042425,53,114008,47.9,3,40,1,1,1,0.8352848,1.3252072,1.4706368,1.210376267
coassembly-bin.182,CHIT9,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,99.01,0.5,5782244,64,90342,50.4,0,43,0,0,0,0.12035976,0.15271682,0.42621017,0.233095583
POS2015-08-06-bin.103,CYTO1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,98.51,0.3,4285222,13,329632,45.1,1,35,1,0,0,0.03105314,0.06252245,0.2736368,0.12240413
coassembly-bin.91,CYTO2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,100,0,4868279,27,180295,42.2,2,34,1,0,1,0.06208817,0.043195464,0.20485161,0.103378415
POS2015-07-16-bin.38,FLAVO2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,100,0,4069065,15,271271,34.7,1,46,1,0,0,0.4482387,0.18294984,0.09632195,0.242503497
coassembly-bin.34,FLAVO1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,93.19,0.83,3093972,264,11718,34,2,40,2,0,0,0.048078045,0.017526941,0.051159482,0.038921489
POS2015-07-16-bin.104,FLAVO3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium_A;s__Chryseobacterium_A,100,0,2570918,12,214243,36.8,3,37,2,0,1,0.38720724,0.17727563,0.00755224,0.19067837
POS2015-07-24-bin.89,IGNAVI1,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae_A;g__UTCHB3;s__,100,0,3983417,6,663902,42.2,3,44,1,1,1,2.232376,0.35053396,0.0821858,0.888365253
POS2015-08-06-bin.100,IGNAVI2,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__;g__;s__,95.83,2.08,4725289,460,10272,35.6,4,51,2,1,1,0.098704726,0.13660565,0.18404616,0.139785512
coassembly-bin.17,IGNAVI3,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__,93.06,0.55,3651746,3,1217215,37.8,3,43,1,1,1,13.601209,18.682182,18.764862,17.01608433
coassembly-bin.150,KAPA1,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA2353;s__,93.52,0,3598823,309,11645,38.6,0,34,0,0,0,0.047702443,0.028353201,0.05369936,0.043251668
POS2015-07-24-bin.39,RHODO1,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__UBA2364;g__UBA2364;s__,100,0,4353183,62,70212,46.1,3,42,1,1,1,1.3041558,0.50553095,1.265504,1.025063583
POS2015-07-16-bin.92,DELTA1,d__Bacteria;p__Bdellovibrionota_B;c__UBA2361;o__UBA2361;f__;g__;s__,95.66,3.78,3858209,296,13034,52.6,3,45,1,1,1,0.16581006,0.19720356,0.057602588,0.140205403
coassembly-bin.103,DELTA2,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Ga0074137;s__,100,0,4234810,39,108584,49.2,3,39,1,1,1,0.023288038,0.29035982,2.53023,0.947959286
coassembly-bin.7,DELTA3,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__UBA2316;s__,99.1,0.9,3628733,35,103678,37.3,3,32,1,1,1,0.7299959,0.42049727,0.042444345,0.397645838
coassembly-bin.132,DELTA4,d__Bacteria;p__Bdellovibrionota;c__UBA2394;o__UBA2394;f__UBA2394;g__;s__,100,0,2387685,21,113698,41.4,4,41,1,1,2,0.096834175,0.07425809,0.013655461,0.061582575
POS2015-08-06-bin.20,ANAER1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__,83.1,6,4606619,172,26782,49.6,1,40,1,0,0,0.78326267,0.58802557,0.33592385,0.569070697
coassembly-bin.172,ANAER2,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__,87.46,6.36,4797955,421,11388,50,0,47,0,0,0,0.4647429,0.39026698,0.53911823,0.46470937
POS2015-07-24-bin.107,ANAER4,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__,99.54,0,6800112,39,174361,56.3,3,48,1,1,1,0.5011833,0.47335348,0.26962954,0.414722107
coassembly-bin.71,ANAER3,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__,85.19,0,4472836,499,8952,56,2,29,2,0,0,0.22893311,0.18326177,0.091877624,0.168024168
POS2015-07-24-bin.124,ANAER5,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__OLB15;s__,91.74,5.5,7109051,706,10069,60.1,2,45,2,0,0,0.1635568,0.17579481,0.09332204,0.14422455
POS2015-07-16-bin.83,LEPTO1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya,100,0,6800371,61,111481,46.9,0,54,0,0,0,0.57221943,0.82312673,0.90187263,0.765739597
POS2015-07-16-bin.94,OBS1,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Obscuribacter;s__Obscuribacter,96.55,0.94,5062712,70,72324,49,3,42,1,1,1,0.22519356,0.6020814,1.1052083,0.644161087
coassembly-bin.120,DELTA5,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__;s__,95.83,0,9387086,540,17383,70.1,3,71,1,1,1,0.045413557,0.1008064,0.34330535,0.163175102
coassembly-bin.86,PLANC1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,88.28,6.3,2926836,530,5521,68.6,1,37,0,1,0,0.027122008,0.03259542,0.0992965,0.053004643
POS2015-07-24-bin.113,PLANC2,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA2402;s__,95.83,0,4059115,42,96645,63.5,3,48,1,1,1,0.35589334,0.44711664,0.11478992,0.3059333
coassembly-bin.1,PLANC3,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__;g__;s__,93.53,1.28,6611934,641,10313,61.8,3,71,1,1,1,0.02337178,0.03888418,0.08353061,0.048595523
coassembly-bin.94,PLANC4,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula_B;s__,96.4,0.21,7831076,308,25424,50.3,0,98,0,0,0,0.028434146,0.10226391,0.044362172,0.058353409
coassembly-bin.146,PLANC5,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__UBA11346;s__,77.96,1.99,4283143,568,7540,69.7,0,74,0,0,0,0.14524321,0.2742825,0.044677537,0.154734416
coassembly-bin.195,ALPHA1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,94.79,0,2123970,275,7722,59.4,2,35,1,0,1,0.003651149,0.030704638,0.098519005,0.044291597
coassembly-bin.51,CAULO2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,100,0,2571147,12,214253,65.7,3,38,1,1,1,1.5809057,0.909676,0.11757898,0.869386893
coassembly-bin.47,CAULO1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__,96.61,0.65,2600458,168,15478,67.9,1,44,0,1,0,0.29750535,0.15140651,0.027727468,0.158879776
POS2015-07-24-bin.2,CAULO3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__SWB02;s__,98.38,0.65,3671922,34,107997,63.9,3,47,1,1,1,0.9415974,0.71846807,0.4197864,0.693283957
coassembly-bin.50,CAULO4,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA1942;s__,75,6.25,3493682,362,9650,39.2,0,35,0,0,0,0.09805866,0.034021344,0.002788566,0.04495619
coassembly-bin.58,MICAV1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,95.96,0.22,2002075,6,333677,49.3,2,40,0,1,1,0.020391194,0.011461543,0.35063365,0.127495462
coassembly-bin.39,RHIZO1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinkiaceae_A;g__PAR1;s__,97.26,0.58,3099726,6,516587,62.1,3,47,1,1,1,0.21701436,0.24399333,0.35214776,0.271051817
coassembly-bin.95,RHODOB1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__,96.55,8.62,4385421,272,16121,65.3,0,53,0,0,0,0.062668286,0.103588924,0.034243826,0.066833679
coassembly-bin.9,RICK1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__,98.58,7.11,1646433,29,56773,33.3,4,34,1,1,2,0.008553891,0.16938747,0.035811756,0.071251039
coassembly-bin.55,RICK2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__GCA-2402195;s__,99.53,0.95,1325166,5,264993,34.7,0,34,0,0,0,0.031068409,0.2069543,0.08658148,0.108201396
coassembly-bin.178,SPHING2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,99.23,0.05,3019040,33,91486,65.7,3,46,1,1,1,0.6247043,0.6266454,0.2326103,0.494653333
coassembly-bin.197,SPHING1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,78.52,5.05,3161183,556,5684,61.6,0,48,0,0,0,0.06165721,0.059899624,0.013909142,0.045155325
POS2015-07-16-bin.100,ALPHA2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA998;f__UBA3002;g__;s__,98.9,0,1861815,1,1861815,50.8,3,39,1,1,1,0.47594306,0.19689159,0.042488914,0.238441188
POS2015-08-06-bin.67,BURK1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,100,0,4436974,203,21857,67.3,2,48,1,1,0,0.37851655,0.42243984,0.5522303,0.45106223
POS2015-07-24-bin.9,OTTO1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia,95.83,0,2871547,325,8835,68.6,3,52,1,1,1,0.7656195,0.8394779,0.30960542,0.638234273
coassembly-bin.168,RUBRI1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,80.99,0.79,4508448,553,8152,71.1,3,56,1,1,1,1.6218398,1.4906653,0.45613202,1.189545707
coassembly-bin.61,RUBRI2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,100,0,5502062,555,9913,68.4,4,52,2,1,1,0.21114293,0.24105075,0.10683111,0.186341597
POS2015-08-06-bin.13,VITRI1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Vitreoscilla_A;s__,95.83,0,3681892,513,7177,68.4,1,42,1,0,0,0.0738314,0.05699302,0.17721659,0.102680337
coassembly-bin.35,BURK2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__;s__,79.17,0,2713608,498,5448,69.6,0,34,0,0,0,0.10158323,0.12158239,0.11145215,0.111539257
POS2015-08-06-bin.38,CAPIIB,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__,100,0,4395533,88,49949,62.5,0,41,0,0,0,0.524489,0.6069673,0.65231735,0.594591217
coassembly-bin.12,CAPIID,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__,98.1,0.74,4564354,91,50155,62.7,0,46,0,0,0,0.35413986,0.32156083,0.051665004,0.242455231
POS2015-07-24-bin.16,CAPIIF,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__,97.14,4.39,5447020,245,22232,65.9,1,48,0,1,0,1.6500401,0.7023067,0.09466494,0.81567058
POS2015-07-24-bin.54,CAPIA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter,100,0,4262696,49,86993,64.2,0,51,0,0,0,6.343278,6.192562,0.4336013,4.3231471
POS2015-07-16-bin.58,CAPIIA,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter,100,0,4931494,126,39138,64.1,1,46,1,0,0,0.55782413,0.5465392,0.15932745,0.42123026
coassembly-bin.185,CAPIIC,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter,100,0,4627111,144,32127,61.2,0,47,0,0,0,12.211668,11.866937,10.230744,11.43644967
POS2015-07-16-bin.46,DECH1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas;s__,91.47,8.1,3690745,279,13228,65,2,40,0,1,1,2.09698,3.3370793,3.1748238,2.8696277
POS2015-07-16-bin.49,SULF1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__,98.26,1.09,4409354,88,50106,64,3,47,2,1,0,0.7616407,0.9270638,2.2433035,1.310669333
coassembly-bin.169,THAU1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__,98.65,1.41,4111698,56,73417,66.1,3,52,3,0,0,0.5634995,0.5791736,0.4082835,0.516985533
POS2015-08-06-bin.9,ZOOG2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,95.16,1.8,4522276,165,27407,64.5,0,55,0,0,0,0.12937862,0.14704487,0.21305211,0.163158533
coassembly-bin.191,ZOOG1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,83.33,4.17,4905486,428,11461,65.7,0,58,0,0,0,0.06957896,0.065685056,0.07687775,0.070713922
POS2015-07-16-bin.113,PARA1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__,100,4.17,4031574,77,52358,46.2,0,50,0,0,0,0.20334288,0.026565729,0.004916797,0.078275135
coassembly-bin.89,GAMMA1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__;s__,79.17,1.04,2512513,456,5508,69.2,1,34,1,0,0,0.051029425,0.07089265,0.10094353,0.074288535
coassembly-bin.200,RHODAN1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__,91.67,0,3502872,323,10843,68.8,0,49,0,0,0,0.14400467,0.20595062,0.16775256,0.172569283
POS2015-07-16-bin.62,AQUI1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__Aquimonas,98.29,1.62,3979001,113,35212,61.5,0,46,0,0,0,0.2839312,0.24393325,0.06592908,0.197931177
POS2015-07-24-bin.4,LYSO1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_A;s__,99.61,0.98,4338578,35,123959,64.1,2,48,1,1,0,1.2109106,1.2005782,0.9620511,1.1245133
POS2015-07-24-bin.93,PSEUDO1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__,95.83,0,2912550,125,23300,69.3,1,48,1,0,0,1.5033554,2.1759264,0.4729922,1.384091333
coassembly-bin.107,THERMO2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__,87.5,0.46,2771421,245,11303,69.9,0,41,0,0,0,0.7936849,1.1404936,0.4586048,0.797594433
coassembly-bin.78,THERMO1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__,76.4,2.08,2312646,299,7734,69.7,0,39,0,0,0,0.21964753,0.25625995,0.059059937,0.178322472
coassembly-bin.194,SPIRO1,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Turneriellales;f__Turneriellaceae;g__Turneriella;s__,86.46,0,3784369,412,9184,53.8,2,31,2,0,0,0.037579812,0.032092243,0.06209842,0.043923492
coassembly-bin.3,SPIRO2,d__Bacteria;p__Spirochaetota;c__UBA12135;o__;f__;g__;s__,87.5,0,5426928,173,31368,65.2,2,41,0,1,1,0.09083432,0.09013284,0.07872347,0.086563543
coassembly-bin.118,VERUCCO2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__,98.59,3.51,7529670,112,67228,61.5,3,50,1,1,1,0.1488596,0.18963514,0.1473955,0.161963413
coassembly-bin.21,VERRUCO1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__,81,8.33,4857460,848,5726,67.1,0,35,0,0,0,0.04712315,0.07195102,0.0161398,0.045071323
coassembly-bin.41,VERUCCO3,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA1315;s__,100,0,7044090,68,103585,62.3,2,60,2,0,0,0.30515274,0.26629484,0.0779191,0.21645556
coassembly-bin.15,VERUCCO4,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,97.02,0,6903877,97,71172,60.3,0,54,0,0,0,0.17845096,0.15859325,0.072039045,0.136361085
